id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
1,2026-09-22 23:43:31,1790113411439,diparb_leg1,btc,1790112600,Up,0.04,20.0,0.8537600000000001,0.05376,,90,2026-09-22 23:51:56,1790113916703,Down,0.0,-0.8538,-100.0,lost,polymarket
2,2026-09-22 23:43:16,1790113396401,diparb_leg1,eth,1790112600,Up,0.0699999999999999,20.0,1.49114,0.09114,,105,2026-09-22 23:52:56,1790113976709,Down,0.0,-1.4911,-100.0,lost,polymarket
4,2026-09-22 23:46:31,1790113591409,fair,btc,1790113500,Up,0.73,6.7147,4.9944,0.0926,0.8007,810,2026-09-23 00:06:56,1790114816693,Down,0.0,-4.9944,-100.0,lost,polymarket
5,2026-09-22 23:58:51,1790114331465,diparb_leg1,btc,1790113500,Up,0.56,20.0,11.54496,0.34496,,69,2026-09-23 00:06:56,1790114816693,Down,0.0,-11.545,-100.0,lost,polymarket
3,2026-09-22 23:46:16,1790113576405,fair,eth,1790113500,Up,0.67,7.2942,5.0,0.1129,0.7358,825,2026-09-23 00:06:56,1790114816920,Up,7.2942,2.2942,45.88,won,polymarket
6,2026-09-22 23:59:46,1790114386473,diparb_leg1,eth,1790113500,Up,0.54,20.0,11.14776,0.34776,,14,2026-09-23 00:06:56,1790114816921,Up,20.0,8.8522,79.41,won,polymarket
7,2026-09-23 00:01:01,1790114461464,fair,btc,1790114400,Up,0.75,6.5385,4.9897,0.0858,0.8163,839,2026-09-23 00:21:56,1790115716800,Down,0.0,-4.9897,-100.0,lost,polymarket
8,2026-09-23 00:01:01,1790114461466,fair,eth,1790114400,Up,0.75,6.5329,4.9854,0.0857,0.8055,839,2026-09-23 00:21:57,1790115717046,Down,0.0,-4.9854,-100.0,lost,polymarket
9,2026-09-23 00:17:51,1790115471522,fair,btc,1790115300,Up,0.74,6.4454,4.8564,0.0868,0.8019,729,2026-09-23 00:36:56,1790116616824,Up,6.4454,1.589,32.72,won,polymarket
10,2026-09-23 00:43:26,1790117006619,diparb_leg1,btc,1790116200,Down,0.05,20.0,1.0665,0.0665,,94,2026-09-23 00:52:56,1790117576930,Up,0.0,-1.0665,-100.0,lost,polymarket
