time,ms,equity,cash,dip_equity,dip_cash
2026-09-22 23:36:47,1790113007971,100.0,100.0,100.0,100.0
2026-09-22 23:41:51,1790113311404,100.0,100.0,93.5546,93.5546
2026-09-22 23:46:51,1790113611490,99.5085,90.0056,80.0876,77.8876
2026-09-22 23:51:56,1790113916950,102.6079,90.0056,71.6894,70.2894
2026-09-22 23:57:01,1790114221473,103.3141,90.0056,65.238,65.238
2026-09-23 00:02:01,1790114521480,97.4663,80.0305,67.3684,45.3684
2026-09-23 00:07:01,1790114821506,92.3575,87.3247,55.4584,55.4584
2026-09-23 00:12:01,1790115121560,87.5862,87.3247,40.5068,40.5068
2026-09-23 00:17:06,1790115426556,97.1282,87.3247,37.8304,37.8304
2026-09-23 00:22:06,1790115726586,88.398,82.4683,27.5822,27.5822
2026-09-23 00:27:06,1790116026593,88.7977,82.4683,26.5444,26.5444
2026-09-23 00:32:06,1790116326617,87.2379,82.4683,26.5444,26.5444
2026-09-23 00:37:06,1790116626686,88.9137,88.9137,12.4359,12.4359
2026-09-23 00:42:11,1790116931638,88.9137,88.9137,10.6082,10.6082
2026-09-23 00:47:11,1790117231644,85.5854,80.032,2.5948,1.5948
2026-09-23 00:52:11,1790117531668,91.3175,80.032,7.5254,6.5254
2026-09-23 00:57:11,1790117831674,94.5695,80.032,4.9689,4.9689
2026-09-23 01:02:16,1790118136678,88.5587,80.032,1.655,0.655
2026-09-23 01:07:16,1790118436729,85.3857,71.7996,1.655,0.655
2026-09-23 01:12:21,1790118741723,101.6816,93.2411,0.655,0.655
2026-09-23 01:17:21,1790119041746,100.4944,88.1792,0.655,0.655
2026-09-23 01:22:26,1790119346748,94.5572,88.1562,0.655,0.655
2026-09-23 01:27:29,1790119649828,95.0114,88.1562,0.655,0.655
2026-09-23 01:32:29,1790119949929,97.4896,83.2639,-14.8107,-14.8107
2026-09-23 01:37:30,1790120250057,95.4199,90.1163,-13.6938,-13.6938
2026-09-23 01:42:34,1790120554530,97.4952,90.1163,-20.01,-20.01
2026-09-23 01:47:39,1790120859544,94.4663,80.6384,-31.4589,-31.4589
2026-09-23 01:52:39,1790121159559,93.5828,88.3248,-21.8991,-21.8991
2026-09-23 01:57:39,1790121459573,93.4085,88.3248,-27.7501,-27.7501
2026-09-23 02:02:44,1790121764537,95.9081,83.4554,-27.4792,-31.8792
2026-09-23 02:07:44,1790122064572,88.3525,83.4554,-42.7105,-42.7105
2026-09-23 02:12:44,1790122364628,79.5214,79.0454,-44.8239,-44.8239
2026-09-23 02:17:44,1790122664634,88.0213,79.0454,-42.5236,-43.5236
2026-09-23 02:22:49,1790122969627,78.953,74.8558,-56.7879,-56.7879
2026-09-23 02:27:49,1790123269631,78.7055,72.9166,-57.9823,-57.9823
2026-09-23 02:32:49,1790123569654,79.2164,70.5675,-58.3029,-68.1029
2026-09-23 02:37:49,1790123869711,84.7337,83.4452,-76.009,-76.009
2026-09-23 02:42:54,1790124174712,82.5811,79.1613,-87.3435,-87.3435
2026-09-23 02:47:55,1790124475203,94.5771,92.3437,-114.4515,-114.4515
2026-09-23 02:52:59,1790124779724,90.3811,82.8946,-116.0439,-116.0439
2026-09-23 02:57:59,1790125079778,90.0632,82.8946,-110.9915,-110.9915
2026-09-23 03:02:59,1790125379811,89.7423,78.2963,-99.9805,-108.3805
2026-09-23 03:08:00,1790125680269,87.7093,86.4155,-109.0462,-109.0462
2026-09-23 03:13:04,1790125984799,90.8506,86.4155,-109.1487,-109.1487
2026-09-23 03:18:04,1790126284828,94.174,81.6482,-116.3317,-116.3317
2026-09-23 03:23:04,1790126584861,86.7621,79.8185,-113.4994,-113.4994
2026-09-23 03:28:04,1790126884893,80.3184,79.8185,-127.3445,-127.3445
2026-09-23 03:33:09,1790127189904,86.1622,79.8185,-128.7187,-130.7187
2026-09-23 03:38:14,1790127494925,76.3935,76.2635,-144.9082,-144.9082
2026-09-23 03:43:19,1790127799901,76.2765,76.2635,-145.2797,-145.2797
2026-09-23 03:48:19,1790128099972,76.3421,68.307,-162.2967,-162.2967
2026-09-23 03:53:24,1790128404966,71.1275,68.307,-159.0128,-159.0128
2026-09-23 03:58:24,1790128704977,72.54,68.307,-159.5197,-159.5197
2026-09-23 04:03:24,1790129004984,78.3311,70.0478,-164.5823,-164.5823
2026-09-23 04:08:25,1790129305080,81.4647,70.0478,-165.056,-165.056
2026-09-23 04:13:30,1790129610034,82.0646,70.0478,-161.2034,-161.2034
2026-09-23 04:18:30,1790129910040,73.9502,62.3204,-151.6234,-153.0234
2026-09-23 04:23:30,1790130210065,70.7946,70.2584,-163.4044,-163.4044
2026-09-23 04:28:35,1790130515092,70.2753,70.2584,-163.5654,-163.5654
2026-09-23 04:33:35,1790130815167,73.9655,70.2584,-162.4395,-162.4395
2026-09-23 04:38:40,1790131120151,69.586,63.2407,-168.6351,-168.6351
2026-09-23 04:43:40,1790131420204,67.1123,63.2407,-164.397,-164.397
2026-09-23 04:48:45,1790131725190,69.9698,56.2552,-172.8909,-175.2909
2026-09-23 04:53:50,1790132030163,62.4826,56.2552,-174.9936,-174.9936
2026-09-23 04:58:50,1790132330206,60.4511,56.2552,-173.3487,-173.3487
2026-09-23 05:03:55,1790132635631,54.3784,53.1087,-188.5545,-188.5545
2026-09-23 05:09:00,1790132940178,53.9023,53.1087,-188.2006,-188.2006
2026-09-23 05:14:00,1790133240199,60.8858,53.1087,-198.4438,-198.4438
2026-09-23 05:19:05,1790133545211,59.7178,58.2383,-205.163,-205.163
2026-09-23 05:24:10,1790133850207,58.1421,55.19,-217.8804,-217.8804
2026-09-23 05:29:10,1790134150243,57.9276,55.19,-218.9732,-218.9732
2026-09-23 05:34:10,1790134450247,57.9147,52.1488,-215.5488,-215.5488
2026-09-23 05:39:10,1790134750275,52.5025,49.395,-227.6783,-227.6783
2026-09-23 05:44:10,1790135050286,56.1191,49.395,-234.7231,-234.7231
2026-09-23 05:49:10,1790135350288,56.0165,43.8965,-248.7867,-248.7867
2026-09-23 05:54:10,1790135650365,55.6148,47.6979,-247.7979,-247.7979
2026-09-23 05:59:10,1790135950396,56.0159,47.6979,-247.0528,-247.0528
2026-09-23 06:04:15,1790136255373,51.8794,45.0448,-262.2499,-262.2499
2026-09-23 06:09:15,1790136555406,61.5877,50.5804,-258.507,-258.507
2026-09-23 14:54:58,1790168098371,71.698,71.698,-274.9264,-274.9264
2026-09-23 15:00:02,1790168402702,71.698,71.698,-266.6051,-276.6051
2026-09-23 15:05:06,1790168706321,75.7167,64.5341,-285.3129,-295.3129
2026-09-23 15:10:11,1790169011218,77.1939,64.5341,-298.616,-298.616
2026-09-23 15:15:11,1790169311246,71.4721,64.5341,-296.3617,-296.3617
2026-09-23 15:20:11,1790169611273,71.4721,64.5341,-312.5321,-312.5321
2026-09-23 15:25:11,1790169911298,77.5302,77.5302,-317.5386,-317.5386
2026-09-23 15:30:11,1790170211359,77.5302,77.5302,-317.6991,-317.6991
2026-09-23 15:35:16,1790170516310,75.094,69.7828,-319.9936,-319.9936
2026-09-23 15:40:16,1790170816414,80.5685,69.7828,-336.609,-336.609
2026-09-23 15:45:21,1790171121357,77.3347,69.7828,-343.6683,-345.4683
2026-09-23 15:50:21,1790171421377,81.4785,74.1453,-354.4147,-354.4147
2026-09-23 15:55:21,1790171721442,82.4831,74.1453,-358.9857,-358.9857
2026-09-23 16:00:26,1790172026417,81.7691,74.1453,-373.6172,-376.2172
2026-09-23 16:05:26,1790172326437,83.6808,83.6808,-384.3663,-384.3663
2026-09-23 16:10:26,1790172626480,83.6808,83.6808,-384.1397,-384.1397
2026-09-23 16:15:26,1790172926492,83.6808,83.6808,-394.703,-394.703
2026-09-23 16:20:31,1790173231495,87.8777,75.3192,-400.4709,-400.4709
2026-09-23 16:25:31,1790173531501,88.624,75.3192,-403.3413,-403.3413
2026-09-23 16:30:31,1790173831543,83.4531,75.3192,-403.3413,-403.3413
2026-09-23 16:35:31,1790174131561,89.0081,89.0081,-411.8844,-411.8844
2026-09-23 16:40:31,1790174431616,87.5954,87.5684,-414.0388,-414.0388
2026-09-23 16:45:31,1790174731649,88.9184,87.5684,-414.0388,-414.0388
2026-09-23 16:50:36,1790175036613,86.3605,81.4976,-433.937,-433.937
2026-09-23 16:55:36,1790175336744,96.3402,81.4976,-430.3108,-430.3108
2026-09-23 17:00:42,1790175642118,87.3057,81.4976,-433.7888,-433.7888
2026-09-23 17:05:42,1790175942120,98.6014,89.2847,-444.8443,-444.8443
2026-09-23 17:10:42,1790176242120,93.7946,89.2847,-444.2236,-444.2236
2026-09-23 17:15:42,1790176542140,97.621,89.2847,-463.0449,-465.0449
2026-09-23 17:20:42,1790176842160,89.2847,89.2847,-471.371,-471.371
2026-09-23 17:25:42,1790177142197,95.2911,80.367,-462.4927,-462.4927
2026-09-23 17:30:42,1790177442208,88.8512,80.367,-471.1341,-471.1341
2026-09-23 17:35:42,1790177742268,96.0934,87.7772,-488.4647,-488.4647
2026-09-23 17:40:42,1790178042277,92.4299,87.7772,-490.7535,-490.7535
2026-09-23 17:45:46,1790178346798,96.2491,87.7772,-500.8051,-500.8051
2026-09-23 17:50:46,1790178646836,87.7772,87.7772,-500.5974,-500.5974
2026-09-23 17:55:46,1790178946914,87.7772,87.7772,-506.8919,-506.8919
2026-09-23 18:00:51,1790179251887,87.7772,87.7772,-518.7544,-518.7544
