time,ms,equity,cash
2026-09-08 15:56,1788875789028,10.0,10.0
2026-09-08 18:00,1788883217557,10.0,10.0
2026-09-08 22:00,1788897614476,10.0,10.0
2026-09-09 02:00,1788912017418,10.0,10.0
2026-09-09 06:00,1788926424835,10.0,10.0
2026-09-09 10:00,1788940824858,10.0,10.0
2026-09-09 14:00,1788955226735,10.0,10.0
2026-09-09 18:00,1788969619494,10.0,10.0
2026-09-09 22:00,1788984029622,10.0,10.0
2026-09-10 02:00,1788998424824,10.0,10.0
2026-09-10 05:59,1789012799304,10.0,10.0
2026-09-10 06:00,1789012830243,10.0,10.0
2026-09-10 10:00,1789027201835,10.0,10.0
2026-09-10 14:00,1789041614010,10.0,10.0
2026-09-10 18:00,1789056024116,10.0,10.0
2026-09-10 22:00,1789070405518,10.0,10.0
2026-09-11 02:00,1789084806346,9.9858,0.5
2026-09-11 06:00,1789099206599,10.0248,0.5
2026-09-11 10:00,1789113614824,10.0661,0.5
2026-09-11 14:00,1789128001406,10.042,0.5
2026-09-11 18:00,1789142418900,10.1372,0.5
2026-09-11 22:00,1789156817141,10.0737,0.5
2026-09-12 02:00,1789171212176,10.0655,0.5
2026-09-12 06:00,1789185603411,10.0707,0.5
2026-09-12 10:00,1789200006234,10.0709,0.5
2026-09-12 14:00,1789214419480,10.0821,0.5
2026-09-12 18:00,1789228823461,10.0846,0.5
2026-09-12 22:00,1789243228846,10.053,0.5
2026-09-13 02:00,1789257629811,10.0706,0.5
2026-09-13 06:00,1789272013892,10.0613,0.5
2026-09-13 10:00,1789286418695,10.0529,0.5
2026-09-13 14:00,1789300828897,10.0101,0.5
2026-09-13 18:00,1789315212703,10.0542,0.5
2026-09-13 22:00,1789329623855,10.0589,10.0589
2026-09-14 02:00,1789344004896,10.0589,10.0589
2026-09-14 06:00,1789358406581,10.0589,10.0589
2026-09-14 10:00,1789372828526,10.0589,10.0589
2026-09-14 14:00,1789387218499,10.0589,10.0589
2026-09-14 18:00,1789401618465,10.0589,10.0589
2026-09-14 22:00,1789416013259,10.0589,10.0589
2026-09-15 02:00,1789430403139,10.0589,10.0589
2026-09-15 06:00,1789444824418,10.0589,10.0589
2026-09-15 10:00,1789459213707,10.0589,10.0589
2026-09-15 14:00,1789473622049,10.0589,10.0589
2026-09-15 18:00,1789488029272,10.0589,10.0589
2026-09-15 22:00,1789502422598,10.0589,10.0589
2026-09-16 02:00,1789516819177,10.0589,10.0589
2026-09-16 06:00,1789531228753,10.0589,10.0589
2026-09-16 10:00,1789545609084,10.0589,10.0589
2026-09-16 14:00,1789560020586,10.0589,10.0589
2026-09-16 18:00,1789574407708,10.0589,10.0589
2026-09-16 22:00,1789588829429,10.0589,10.0589
2026-09-17 02:00,1789603213409,10.0589,10.0589
2026-09-17 06:00,1789617605931,10.0589,10.0589
2026-09-17 10:00,1789632017980,10.0589,10.0589
2026-09-17 14:00,1789646428636,10.0589,10.0589
2026-09-17 18:00,1789660821693,10.0589,10.0589
2026-09-17 22:00,1789675217728,10.0589,10.0589
2026-09-18 02:00,1789689619920,10.0589,10.0589
2026-09-18 06:00,1789704026993,10.0589,10.0589
2026-09-22 03:02,1790038969740,10.0589,10.0589
2026-09-22 06:00,1790049613394,10.0589,10.0589
2026-09-22 10:00,1790064001140,10.0589,10.0589
2026-09-22 14:00,1790078400881,10.0589,10.0589
2026-09-22 18:00,1790092829564,10.0589,10.0589
2026-09-22 22:00,1790107217152,10.0589,10.0589
